year,ssp119,ssp126,ssp245,ssp370,ssp585
2019,0.014756339285106446,0.0040948314456532575,-0.2418765800204361,-0.43197711454176413,-0.09125978154026226
2020,-0.19366717236281938,-0.11964414261460599,-0.05072786463974399,-0.19553429320109839,0.05702267885963841
2021,-0.3480272318383686,-0.004125604613876455,-0.09245555140781869,-0.20453221725430737,-0.22900559156349787
2022,0.22474745613714564,-0.19313163006553458,0.004930100344117561,-0.04423188457940275,0.07293342650967127
2023,0.017361440295866837,0.017936058334075078,0.07711963916453324,-0.10486191590072447,0.25245494859793594
2024,-0.1163729380693177,-0.029759381519870454,-0.11110677828458404,0.033385069537468226,-0.12250281429220711
2025,0.2607385455062241,0.02660273860863227,-0.027411379204664188,-0.1903833845748124,-0.09043291104596629
2026,-0.14469310356983223,0.027496015162527643,-0.034295968586058434,-0.15300516012852405,0.09268087042087392
2027,-0.03823285441909752,-0.30101996895120187,0.013047092263764437,-0.22692776993248187,0.05679356088963594
2028,0.21292878154356942,0.29447723621176647,-0.19100032101045206,-0.3441502211576537,-0.0749014400057253
2029,-0.0851987364883573,-0.2686833319236259,-0.03386263140234114,-0.05983009116894067,-0.10093198867331865
2030,0.1907461016732015,0.18382695640392277,0.043124259234716744,-0.14691919273603538,0.10227199093650019
2031,0.1365200459892022,0.08867923743219053,-0.19996766327103122,-0.16800189565749224,-0.36465972472630304
2032,-0.024484327130937178,-0.08707964800621149,0.009536283335307871,-0.044059129291425414,0.21654939143843688
2033,0.279448057604355,0.08399853956219494,-0.01640422560268595,0.02106288669708145,0.25075293460619585
2034,-0.00537465307404017,0.18646309912956682,-0.0566965445542269,-0.26987963172782714,0.28956476335713655
2035,-0.05567764137949838,0.07603888722157826,0.09857748537528344,0.0446654077034907,-0.03001309917157924
2036,0.414567686875291,0.03421764109309011,-0.042753433187449286,0.11742784356183522,0.1465076884769445
2037,0.32674835711848527,0.14701575476986295,0.12339461865855572,0.09750603716903061,0.03488278437750658
2038,-0.04062611831849594,0.14892961890464607,-0.018453341306837068,-0.27968498968046207,0.29564115786469225
2039,0.23034409142229784,0.02992309777055069,0.0159302997256896,0.21203950085014744,0.019970057841383948
2040,-0.10876826159505448,0.28866681061630617,0.102782467362736,-0.18203013784521893,0.07950414747314438
2041,0.2826369056406217,0.2938976624636289,-0.005098760756123699,-0.08057696564623917,0.08902832658629567
2042,-0.1659098038394975,-0.0446582272167837,0.19412576326499753,0.03028054896717247,0.15746576020805314
2043,0.00911912501854295,0.13446212105452182,-0.0486129911395925,-0.07234365023824862,-0.025467984830473522
2044,0.22559364032915075,0.01393651466164858,0.0680127191571267,0.07689383906545677,0.1844372805945107
2045,-0.047524066433068723,0.39848558331148265,0.23071326596976993,-0.014403393810287213,0.09052040685710683
2046,0.17062923341620584,-0.06385272798787689,0.15159358690873503,0.18299302765225844,0.38912593225515524
2047,0.31229831233918315,0.44180660550357453,0.1441542239417939,0.0010723616452628093,0.2082039606190107
2048,-0.0022820420834068766,0.38620894992707777,0.28252812978779307,0.2364212520524469,0.16075437463013698
2049,0.29878001060457926,0.19314675940818127,0.332596419001975,0.0634803238327053,0.5135263687126268
2050,0.19527248278951803,-0.10507757944028029,0.18797396051402027,0.07061516581315219,0.18225771237074584
2051,0.1620270092003273,0.17677542859838669,0.14474644957933025,-0.08823946345954248,0.18860084573958513
2052,-0.029203584408453942,0.3293979007192962,0.2299302595879964,0.2660450281234774,0.3766963958902405
2053,0.3754863665841681,0.21964896547915114,0.14328564351560802,0.05673499774825208,0.25350356412578323
2054,0.22294835046027384,0.23502360290253677,0.106882268521856,0.12747823567813343,0.3766490525528914
2055,0.3775583194082295,0.20067013794596633,0.42818850644966133,0.06031949394131475,0.3154312554660965
2056,0.1851967549364335,0.3895209446874657,0.15035473480795902,0.4989464946181901,0.479127383936921
2057,0.32484725280597404,0.4089106549302981,0.3642865627374503,0.398414619724512,0.39411436078993445
2058,0.14397531361396032,0.08034910369063386,0.19512701741717953,0.06871488595018782,0.3952206069522961
2059,0.2961028040531577,0.46884931832078225,0.3779633569658909,0.1493822080521241,0.397913401721524
2060,0.12321508890431776,0.2092985542698904,0.16005988773119206,0.5538672085955159,0.447005534421244
2061,-0.11454642354530775,0.10274506191876132,0.2998689167798725,0.18454214374777012,0.28875557507486604
2062,0.3716851535292527,0.2151148518928565,0.194002438959203,0.14817360703037696,0.3113656402674221
2063,0.050866644861528476,0.167637876377162,0.2753149850565193,0.1565564565948434,0.18032034151170295
2064,0.19935060578576502,0.2824081424390177,0.24969726754806842,0.21391923357898524,0.6341297978349414
2065,0.27170127363207675,0.30852712789955783,0.37982332255711526,0.32239934105539536,0.4448709889891833
2066,0.47373200196860865,0.0680418117816366,0.10800658305496746,0.12071864651846864,0.2803971595355095
2067,0.22109421590671108,0.5293231977966224,0.4627919283223294,0.3590561627795146,0.3783076633575093
2068,0.38514827624738923,0.367827257629743,0.23375489860703347,0.4993400133812802,0.3336607795983797
2069,0.2676759303014651,0.27148778190738465,0.46863979118487986,0.07648737976803321,0.43360254238051743
2070,0.3948020121890228,0.4230834952782958,0.270078101323751,0.5088481663520525,0.392429361622213
2071,0.199392575632779,0.026408940130392633,0.29501069288598325,0.40303730974283347,0.418719349150523
2072,0.33294278780785147,0.2331165908008348,0.14280179203392152,0.32858323365662256,0.5892607832701158
2073,0.14545983137110974,0.36949424214555293,0.40697136999243977,0.5593475781293331,0.16775905713518746
2074,0.5322186328611367,0.24626814456565782,0.17303083377962825,0.3584270827493117,0.6234178641270862
2075,0.21389419552148303,0.2662921920853467,0.5279191766242177,0.22153157006621438,0.2517770397789487
2076,0.1590004655614683,0.30317095415500006,0.33277179997126716,0.5811725772694305,0.724629184842077
2077,0.31039208029851006,0.10902242699778064,0.3025291049003198,0.2735082320275821,0.27339671364124474
2078,0.19339387111976802,0.2590109749876932,0.24569227362642243,0.5197094348046094,0.6124417997024718
2079,0.4184055912299498,0.148159419714188,0.4044391337410378,0.4810629054025597,0.3680367228011292
2080,0.24960733590406003,0.31795447073445304,0.3085094656403289,0.5223700821265136,0.7286120705129493
2081,0.5284155392872198,0.2997709765316028,0.2526567874840384,0.37450790585746674,0.7241606884441634
2082,0.04426092311348717,0.24993664914941016,0.42210384910233323,0.622809916993921,0.5216887788064826
2083,0.36238872512684184,0.23568987000996167,0.2658443675547191,0.37342910161779397,0.6785119400162012
2084,0.35217907971768625,0.3073555736352329,0.4150821376596645,0.4369135619162101,0.49354712862037875
2085,0.3085885952335483,0.3396001078753088,0.399461486533327,0.5552900158080272,0.7258612905028867
2086,0.1344410456910936,0.1381320186642241,0.3497603343386282,0.5103213407583116,0.45105982221372365
2087,0.2108340934164108,0.2249627795483895,0.29242732327549437,0.3399614540956044,0.8284701387254847
2088,0.24182781555945754,0.4491727544765147,0.49545765577608547,0.31103192137810964,0.6009190303740475
2089,0.16934209618212526,0.22697977932175206,0.40841286017685574,0.7393558202743336,0.7890006867687607
2090,0.46106921751538166,0.39998436916093083,0.26850939968316023,0.5086983637644904,0.5966063114847184
2091,0.1655697359195425,0.2373183233225964,0.603255365775317,0.5711325784863801,0.7638550754051225
2092,0.3657218165569207,0.4902163311665364,0.43727907395752075,0.8951970496227979,0.7918452912809544
2093,0.2201649731661255,0.3177159433148864,0.5268787476744872,0.6013456428009132,0.6442286416245375
2094,0.3809293137423728,0.23665551657311545,0.39889262348998455,0.6990675964527506,0.8654385324481613
2095,0.258625908527641,0.40456861780317044,0.42380510576424646,0.7530310020411113,0.5502668184051256
2096,0.17598656035000704,0.31440495129039503,0.3265795746259479,0.5793858002837142,1.118160573927483
2097,0.18257980214449177,0.4004451887422784,0.4204198001893995,0.6249037836323827,0.6206811047887886
2098,0.5415666679837532,0.14617306857961854,0.2648086195002044,0.6653855470298904,0.9939815217501877
2099,0.24094066107162138,0.401142825271827,0.45342337370949926,0.7234194382692207,0.6742803101834625
2100,0.36334987797102225,0.3822541513119717,0.4507608104840779,0.8648720339347973,0.9357189396350769
